en,zh
Sorry, we're closing soon. Would you mind settling up now?,唔好意思，我哋就嚟打烊喇，不如幫你哋埋咗張單先吖？
My sister wants to lose five pounds of weight before the wedding banquet.,家姐想喺擺酒之前減五磅。
Mother said we shouldn't drink soft drinks!,媽咪話唔好飲汽水喎！
Power corrupts; absolute power corrupts absolutely.,權力令人腐化；絕對權力令人絕對腐化。
You must keep quiet no matter you are inside or outside the examination hall.,考場內外都要保持安靜。
He is carrying three bags of goods with ease.,佢攊住三袋嘢都唔覺重。
You will only be a drag in the kitchen. Just go outside.,你喺廚房盞阻手阻腳㗎咋。出返去啦。
Just let bygones be bygones. Let's be friends again.,唔好提啲衰嘢喇，不如我哋做返朋友啦！
I've arranged to go fishing out at sea with some friends next week.,我約咗啲朋友下星期出海釣魚。
I'm stepping out for several minutes. Ring me on the mobile if anything.,我行開幾分鐘，有咩事打我手提。
The library has re-arranged the books and we can easily access the books we want at a glance.,圖書館排過晒啲書，啲書放喺邊而家一目了然。
I want to be in a relationship with him/her.,我好想同佢喺埋一齊。
This newspaper prints news of sex and violence to wow its readers.,呢份報紙為咗突出自己，報導嘩眾取寵，渲染色情暴力。
Let me burn more joss paper for you, hope you can have a good life in the nether world.,我燒多啲金銀衣紙俾你，等你響下面住得安安樂樂啦。
"It is healing to see everything so neat and tidy." "OCD here!",「見到咁整齊，好治癒！」 「強迫症患者報到！」
I will go to my younger brother's graduation ceremony tomorrow.,聽日要去細佬嘅畢業禮。
You lazy ghost get up!,你個懶鬼好快啲起身喇喎！
There are a few deserted villages along the ancient trail.,古道途中有幾條廢村。
When I was small, I once dreamt of becoming an astronomer when I grew up.,我細個嗰陣有個夢，想大個咗做天文學家。
The arts of the guqin (the craft of qin making) was inscribed onto the Representative List of the Intangible Cultural Heritage of Hong Kong in 2017.,古琴藝術（斲琴技藝）喺2017年列入香港非物質文化遺產代表作名錄。
I bought a new aquarium, and it has many goldfish inside.,我買咗一個新嘅水族箱，裏面有好多金魚。
I didn't do any revision at all. The pass of the exam is really a fluke!,之前完全冇温書，噉都合格真係負碌！
Sai Kung North is an exclave of Tai Po District because it does not border the district on land.,西貢北屬於一塊飛地，雖然冇同大埔區接壤，但係佢係屬於大埔區嘅。
Apart from Earth, Mars and Saturn, actually there are also many other planets.,除咗地球、火星、土星之外，其實仲有好多其他星球。
Ｗhen you travel to other countries, you should check whether you need a visa or not.,你去旅行之前要檢查吓嗰個國家駛唔駛拎簽證。
The last time we had a meal together was already 3 years ago.,我哋上次一齊食飯已經係大前年嘅事。
You should do your work from beginning to end and never give up halfway through.,做嘢要有頭有尾，千祈唔好中途放棄。
I wonder whether I will live to see universal suffrage in Hong Kong.,唔知我有生之年會唔會見到香港有普選呢？
From now on you have to behave well.,以後你要生性做人啊。
Find some friends to enroll in this course!,快啲摳friend報呢科啦！
I don't mind where we go to eat as long as the restaurant is fast at serving up the food.,去邊度食飯都冇所謂啦，快啲有得食就得嘞。
He knows absolutely nothing and he's speaking from his ass.,佢乜都唔識，就喺度隨口噏當秘笈。
You talk in a cocky and condescending way all the time. When will you learn to become more humble?,你成日講嘢牙斬斬，幾時先學識謙虛啲呢？
Most kids believe that ghosts and monsters exist.,多數細路仔都覺得世界上有鬼怪。
A-chung went to visit prostitutes. Now he had contracted STD.,阿松走咗去嫖妓，結果而家惹咗性病。
Changes in life are inevitable.,人生中嘅變化無可避免。
What's the knack to this magic trick?,呢個魔術有咩蹺妙呀？
Brown wood pulp is bleached to produce white paper.,啡色嘅木漿經過漂白後成為做紙嘅原料。
I always play the guitar, and that gives my fingers all these calluses.,我成日彈結他，搞到手指起晒枕。
She is really lucky to see her favourite idol on the street.,佢真係人品爆發，竟然喺街度見到自己心愛嘅偶像。
They've hung down a rope from the roof.,佢哋喺屋頂度吊咗條繩落嚟。
Your dream girl does not have a crush on you. Stop fancying her.,女神唔會中意你架喇，唔好再單思喇。
This company has one thousand employees.,呢間公司有一千個員工。
No boasting. If you promised it, you should be able to do it.,你咪牙斬斬，應承得人就要做得到。
Good morning auntie.,早晨啊，auntie。
There are many intersecting roads in this district.,呢一區啲路好多都縱橫交錯。
Stop turning around and around! You make me feel dizzy.,唔好轉喇，轉到我頭都暈埋！
You yawn that early? You slept late last night?,咁早就放蚊？噚晚好夜先瞓呀？
What are so many credit cards for? I don't need any more.,要咁多張信用卡做咩啊？唔使啦。
Retention is of utmost importance while carrying out this experiment.,做呢個實驗呢，記性就最重要。
We mostly eat out on Sundays.,我哋星期日多數都出街食飯。
The rain is heavy. Where are you going?,出面咁大雨，你想去邊？
How terrible! You got pregnant before getting married?,該煨嘍！你未結婚就俾人搞大咗個肚？
In this village, most of the families are rich.,喺呢條村住嘅多數都係富户。
This medicinal liquor is great. It is said that it could invigorate your manhood.,呢隻藥酒正呀喂，聽講可以壯陽。
She showed her teeth and laughed happily.,佢依起棚牙，笑得好開心。
He won't take such trifles to heart.,佢唔會在意呢啲小事嘅。
Our volunteers will pay a visit to your home, to see whether you're suitable to adopt this kitten.,我哋嘅義工會先嚟家訪，了解下你哋係咪適合做貓仔嘅新主人。
So you don't just mess with me, but also with my friends and family? That's the limit! Don't think I'm a pushover!,你搞我不特止，重搞埋我朋友同屋企人？真係佛都有火！咪以為我好恰喎！
The red team eventually lost in the third round.,喺第三個回合，紅組終於落敗。
If you don't work hard, mum will sell you abroad to work as a slave.,你唔俾心機讀書呢，阿媽就賣你豬仔去做咕喱。
I don't think your husband is messing around every night.,我唔信你老公晚晚去滾。
This article is to analyze briefly the contemporary significance of post-1997 pop songs in Hong Kong.,本文淺析後九七香港流行曲嘅時代意義。
Is it OK if I don't take the Chinese medicine? It's very bitter!,可唔可以唔飲中藥呀？好苦呀！
Hong Kong has the world's highest number of skyscrapers.,香港係全世界最多高樓大廈嘅地方。
The forensic pathologist thinks that the victim was killed and did not commit suicide.,法醫官認為死者係被殺嘅，唔係自殺。
Mum joined a package tour to Taiwan last month. The entire trip was about eating. Mum enjoyed it a lot.,阿媽上個月參加咗個台灣三日純食團。佢話好正。
New students join orientation camps eagerly.,新生踴躍參加迎新營。
You are just an amateur driver. How can you master a car as powerful as this?,你啱啱開始學，點會駕馭到咁大馬力嘅車？
Do you take the metro or take a bus back home?,你搭鐵定搭巴士返屋企啊？
When sailing, it is important for the ship to have a tailwind.,喺航海嗰陣，架船順風好緊要。
This door will open if you press that button.,你撳嗰粒的，度門就會開架喇。
What methods do you use to prevent conception?,你哋用乜嘢方法避孕㗎？
They provide the chicken, and you only need to provide the soy sauce. This deal is a steal!,人哋出雞，你淨係出豉油咋，呢單交易抵到爛啦！
Half the class got a C+ — this is what you call having good grades?,半班人攞C+，咁都叫好grade？
Don't overdo anything. Remember to stop when you've had enough.,做任何事都唔好過度，記得要點到即止
Put your hands and legs down and don't move around.,擺好自己啲手手腳腳，唔好郁嚟郁去。
Luggage for travel ought to be light and convenient.,去旅行，行李一定要輕便。
He was modest that he said he did not sing well, but all of us enjoyed his singing a lot.,佢自謙話自己唱功麻麻，但係我哋個個聽佢唱歌都聽出耳油。
He is the manager, and in addition to that, he's also the boss' son. Of course we need to listen to him.,佢係經理，加上佢又係老闆個仔，梗係要聽佢話喇。
Thousands upon thousands of students march on the streets.,成千上萬嘅學生上街遊行。
Stop hanging out with those fair-weather friends! It won't do you any good.,你唔好再群埋班豬朋狗友喇！冇益㗎。
Apply some herbal oil to your temples, and see if you get better after that.,揾啲藥油搽落魂精度，睇下會唔會好啲啦！
The title of the Cantonese drama on show tonight is "The Reunion by a White Hare".,今晚演出嘅粵劇劇目係《白兔會》。
People usually dip their fries in ketchup.,食薯條通常會點茄汁。
When we went hiking, one of our buns was held in a dog's mouth.,嗰次行山，我哋畀隻狗擔走咗個包。
I took some water sample from my place to a laboratory for testing.,我尋日拎咗屋企啲水喉水去做化驗。
This brand of chocolate is very famous.,呢隻朱古力好有名㗎。
This chartered flight is used to transport a dog to England.,呢架包機係用來運隻狗去英國㗎。
He keeps running around throughout the match without getting tired. What an amazing runner he is.,佢呢個氣袋跑全場都仲夠氣。
Examiners will also collect rough paper from candidates.,監考員會收走埋考生嘅算草紙。
My essay has no part left intact after being marked by the teacher.,我篇文俾老師改到體無完膚。
We sincerely invite you to come to the party of our company.,我哋誠邀您嚟我哋公司個Party。
The calling code of Hong Kong is 852.,香港嘅國碼係852。
That stick was as thick as a cucumber.,嗰碌棍好似青瓜咁粗。
Don't just talk. If you know how, then do it!,你咪口水多過茶，識你就做啦！
Our team has not enough strength and no ground to fight with them.,我哋隊波實力唔夠，同佢哋冇得揮。
We're of the same age. Try to put yourself in his shoes and you'll understand. Please give him a chance.,大家都係細路仔，將心比己，你原諒佢啦。
This cheque will write off his debt.,呢張支票會抵消晒佢欠嘅債。
Without the ability to distinguish right from wrong, it would be easy to be misled by others' rumors.,如果冇辨別是非嘅能力，就會好易俾人哋嘅流言誤導。
He always acts slowly and looks stupid to react.,佢做咩都慢半拍㗎啦。
Many of our distant patrilineal cousins, whom we hadn't seen for years, all came on the day of my younger brother's wedding.,我細佬結婚嗰日，有好多我哋好耐冇見過嘅疏堂兄弟都嚟咗。
As the opponents use disgraceful tactics, we'll stand firm till the last.,對家使橫手，我哋就企硬奉陪到底。
[ChatGPT]He has a boss backing him up, how could I dare to collide with him?,佢有老闆做後台，我點敢衝撞佢啊。
We have discovered an unidentified flying object.,發現咗架不明飛行物體。
I just went to the post office to ask if my package had arrived yet.,我啱啱打去郵局問下件件到未。
Don't you think making noise the whole day is very annoying ?,你唔覺一日到黑嘈住晒好煩膠㗎咩？
The standard issue handgun of the Hong Kong Police Force is a revolver with six rounds of ammo.,香港軍裝警察標準配備嘅左輪可以上六發子彈。
I will reveal your dirty secrets to the public!,我會將你嘅衰嘢公諸於世！
On the basis of common sense, he won't hurt his own children.,按常理，佢唔會傷害自己嘅仔女嘅。
Diamond is the hardest natural material.,鑽石係自然界中最硬嘅物質。
Seeing how pitiful you are, I will generously tell you something.,見你咁可憐，我就大發慈悲話畀你知啦。
The application procedures are very complicated. You'd better prepare for it early!,申請手續好撈絞㗎，你早啲準備喇！
Don't bother to invest in penny stocks, they are evil.,仙股多數都係呃人，少買為妙。
Natural disasters cannot be avoided.,自然嘅災禍係唔能夠避免。
This diagram explains the Qualifications Framework in Hong Kong.,呢幅圖解釋咗香港嘅資歷架構。
There are no distinguishing marks on your ring. It will be difficult to find if you lose it.,你隻戒指咩記認都冇，唔見咗好難揾㗎喎。
Do they have an online store? If they do, we don't need to buy it here.,佢哋有冇網店㗎？有嘅話就唔使喺呢度買。
Looting in broad daylight? How dare you!,日光日白打劫？你真係大膽啊！
[ChatGPT]Since the leader of the opposition was wiped out, everyone has given up resistance and become cynical.,自從反對勢力領袖被一網打盡之後，所有人都放棄抵抗，變得犬儒。
No matter how long two parallel line stretches, they shall not cross each other.,無論延伸幾長都好，兩條平行線都係唔會相遇。
That kid who cries easily must have a very low EQ.,個細路郁啲就喊，情商一定好低。
How do you calculate the volume of a sphere? I forgot.,球體體積係點計㗎話？我唔記得咗添。
He mispronounced an English word again, and was laughed really hard at by netizens.,佢又讀錯英文字，畀網民笑到面黃。
You test the numbers one by one. First you check if it's divisible by 2, and then try 3, 5, and 7, and try every prime number until you reach the square root of that number.,你逐個數拎出嚟試，睇下俾二除唔除得開，跟住試三、五、七，逐個質數試，試到嗰個數嘅開方為止。
There will be a lot of action coming soon. Be smart, guys!,嚟緊有幾單大茶飯，大家要醒醒定定！
[ChatGPT]The concept of grammatical elements is a disaster area.,句法成份嘅概念可謂重災區。
When you sign the contract, you should pay attention to the validity period of service.,簽約嗰時，要留意服務有效期。
He is already in his twenties, and his mannerism resembles a toddler.,佢都成廿歲人，仲好似未戒奶噉款。
It's so tough to be in this romantic relationship, why don't you just break it off brightly and clearly.,拍拖拍得咁辛苦，不如撇脱啲分手啦！
Have you watched the news? I'm on the TV!,你有冇睇新聞呀？我上電視呀！
My mother has superb baking skills.,我媽媽做蛋糕啲手勢唔錯㗎。
The overall taste of the food is not bad.,overall嚟講食物嘅味道唔錯。
If you don't get your diabetes under control, diabetic complications will soon set in.,你啲糖尿病再唔控制好啲，好快就會好多併發症㗎喇。
You'll hear a beep when you tap an Octopus card on the card reader.,你用八達通拍落部讀卡器度就會有嘟一聲。
He is so great at controlling the ball that he can juggle with his foot a hundred times without it touching the ground.,佢控波好勁㗎，用腳的波可以連續一百下唔落地。
You can take the bus or the MTR to Ap Lei Chau.,你可以搭巴士或者地鐵去鴨脷洲。
Just admit that you made a fool of yourself, like it's not the first time this happened.,樣衰咗咪認囉，即係你又唔係第一次。
Stop hiding it. You've definitely got a new girl.,唔好收收埋埋喇，一定又識咗女仔啦。
Being stuck behind double-deckers on one-way streets is just the worst.,最怕喺啲單程路上面跟住啲碌架牀行。
Writers from all across the nation enthusiastically supported the "Write as you speak" campaign.,當時全國各地文人積極呼應「我手寫我口」原則。
Is it really worth bickering over such a small matter?,為咗啲小事而爭執，值得咩？
He signed a non-disclosure agreement with the company.,佢同公司簽咗一份保密協議。
For this job I need you to keep a watchful eye.,呢單嘢你一定要金睛火眼幫我睇住。
Sources said that there would be slight undulation in the stock market.,消息人士稱，股市將會出現輕微波動。
I have been very unlucky recently and that makes me so frustrated.,呢排頭頭碰着黑，搞到個人好頹。
God, can you help me!,天呀，可唔可以幫我呀！
The puppies really need a place to care for them.,啲狗仔真係需要一笪地方俾佢哋温馨温馨。
Never mind him, he loves meditating.,唔好理佢喇，佢好鍾意沉思。
At times of trouble or difficulty, the true character of the man shows up.,危難嗰陣，一個人嘅真面目就會顯現出嚟。
Seeing that they insist to do things in their own way, I feel really helpless.,見到佢哋一意孤行嘅時候，我真係會有一種無力感。
Saying no in front of my lackeys, you are obviously hurting my reputation.,響我班𡃁面前say no，你而家擺到明剃我眼眉啫。
Looking at windmills naturally makes me think of the Netherlands.,望到風車，自自然會諗起荷蘭。
As the only one who was present during the event, you should be very clear on this issue.,你身為在場唯一嘅當事人，你對件事應該好清楚。
She will perform a dance in the show.,佢會喺個節目表演跳舞。
You have to promise me that you will take care of me for the rest of my life.,你要應承我照顧我一生一世。
[ChatGPT]You lazy ass, you're never proactive when it comes to work, but when there's good food you're always the first one to rush over and eat!,你條撚屌吖，做嘢又唔見你咁積極，見到好嘢你就第一個衝埋嚟食！
How's it going now that Ming has started to court you?,點呀，阿明開始對你發動攻勢呀？
He will take up the position of CEO.,佢將會出任公司嘅行政總裁。
I was moved by his sincerity and was willing to join his team.,我被佢嘅誠意打動咗，願意加入佢嘅團隊。
Don't lose heart, there are still plenty opportunities to succeed.,唔好泄氣啊，你仲有好多機會成功㗎。
Is there anything I can do to help?,我有啲咩可以幫手啊？
It's nice to have a picnic under the clear sky.,今日天朗氣清，適宜郊遊。
It can be said that he is the best student in our class.,佢可以話係我哋班入面最叻嘅學生。
My life is hollow. I am so lonely. I need a girlfriend.,我空虛，我寂寞，我想要女朋友。
Look, your mom has heart disease, so how about NOT riling her up.,你阿媽有心臟病，好心你就唔好去激佢啦。
He acts very strange these days. Is he haunted by a ghost?,佢呢幾日行為怪誕，好似撞邪噉。
How's the match between Liverpool and Chelsea going?,利物浦對車路士場波踢成點樣呀？
He knows nothing but boasting about himself.,佢乜都唔識，淨係識認屎認屁。
It is he who established the dynasty.,呢個王朝係由佢一手建立嘅。
Unwanted or severely injured animals will probably be euthanized.,被遺棄或者嚴重受傷嘅動物，好大機會俾人人道毀滅。
He finally managed to persuade his boss to give him a pay rise.,佢終於氹掂佢老細加佢人工。
Aside from forward, what other positions do you usually play on the football team?,除咗前鋒，你仲有冇打開咩嘢位置？
These volumes are distinct stories, and are unrelated to each other. You don't have to read them in any particular order.,呢幾冊書都係獨立故事嚟，冇咩關連，唔一定要順序睇。
refined on the outside, but perverted and desperate on the inside,斯文男子生雞精，密實姑娘假正經
We have to look for the meaning of life on our own. It makes no sense to drift with the tide, does it?,人生嘅意義要自己發掘同體驗，隨波逐流又有咩意思呢？
We shouldn't make fun of others' shortcomings.,我哋唔應該嘲笑人哋嘅缺憾。
All rights reserved.,版權所有，翻印必究。
Don't promise them so quickly. Are you sure you are capable of helping them?,唔好口爽應承人，你係咪真係幫到人先？
He is in big trouble this time, it is time to cut ties with him.,佢今次闖個咁大嘅禍，係時候割席喇。
He's already very troubled and annoyed, leave him alone in peace.,佢已經好煩㗎嚹，俾佢清靜吓喇。
Let go of your negative emotions. Then you shall be relieved.,釋放晒你啲負面情緒，你先會覺得舒暢。
The window is so dirty. Clean it with that cloth now.,隻玻璃窗咁污糟，快啲用嗰塊布捽乾淨佢。
She captured my heart.,我個心已經畀佢俘虜咗。
The fishballs of a restaurant in Tsuen Wan taste good.,荃灣有檔魚蛋好好食。
When one hits a pedestrian while driving, of course one cannot just drive away from the scene.,開車撞到路人，當然唔可以一走了之啦。
Haven't seen him for ages. Wouldn't be surprised if he emigrated abroad.,咁耐冇見過佢，移咗民都唔奇。
Once he plays in the match, the team has a chance to win.,佢一出賽，球隊就有希望會贏。
Some of the patients have been already discharged from the hospital.,有部分病人已經出院。
Your headphone matches the phone.,個耳筒幾襯你個電話。
Today is the boss's birthday. Go to say happy birthday to him.,今日老闆生日呀。快啲去同佢講句生日快樂啦！
You get what you pay for. This golden ring only costs $100, so there's no way it's made of real gold.,一分錢一分貨吖嘛。呢隻戒指先賣一百蚊，一定唔會用真金造啦。
When the moon is at its brightest and roundest, if you say your wishes to it, they will definitely come true.,當月光最光最圓嗰陣，你向住佢講出自己嘅心願一定會靈嘅。
Participating in the countdown event with friends is the best way to celebrate the new year.,慶祝元旦最好就係一班朋友出去倒數。
The coastal area is filled with luxury housing.,沿海一帶啲地全部都係豪宅。
He brings a reusable bag with him whenever he does the grocery.,佢每次買餸都會帶個環保袋。
He's thirty years old, at most.,佢頂多都係三十歲嘅啫。
I plan to apply for a summer Japanese course.,我打算報讀暑期日語班。
You have to drive later, don't drink any alcohol.,你陣間仲要揸車，唔好飲酒喇。
If it rains, the match will be cancelled.,如果落雨，賽事就會取消。
I didn't have lunch since the meeting lasts until four o'clock. Now I have lost my appetite.,開會開到四點冇食飯，而家餓過飢反而食唔落。
The arms race is one of the causes of the outbreak of WWI.,軍備競賽係一戰爆發嘅成因之一。
His dad committed suicide by hanging last month.,佢老竇上個月掛臘鴨啊！
The murderer killed his ex-girlfriend and then cut up her corpse to pieces.,兇手殺死前女友再碎屍。
Maybe he's not used to Western food, huh?,佢係咪食唔慣西餐呢？
There's not even one check mark on your test paper. Have you been paying attention in class at all?,成分卷一個剔號都冇，你上堂究竟有冇留心聽書㗎？
If one really wants to contact me, a phone call will do.,有心揾我嘅打個電話都得啦。
She is hard to handle. You can have her!,呢條女咁巴辣，你啃啦！
The two had their lips intertwined and kissed for a long time.,兩個人嘴唇交錯，錫咗好耐。
Many people choose not to have their own babies but to sponsor children in developing countries.,好多人唔會自己生小朋友，反而會助養發展中國家嘅小朋友。
It's too early to nail the coffin of the revolution.,而家咁早就話革命失敗，又未免言之過早。
[The company] is unworthy of earning so much. Let's evade the fare.,佢唔值得賺咁多錢，我地一於跳閘。
I would feel bored when I am not working. I was born to toil!,我唔返工會覺得好無聊，真係勞碌命！
We have to finish the meal quickly, the restaurant is closing soon.,我哋要食快少少呀，間舖就嚟打烊。
Mango crêpes are cheap and tasty, but the whipped cream contains a ton of fat.,芒果班戟又平又好食，不過啲忌廉勁肥。
Instead of relying on intuition, why don't you back your arguments with hard evidence?,辯論嘅嘢，與其想當然，倒不如訴諸實證啦！
I have to go home now or I'll get it from my mum!,我要返屋企喇，如果唔係實俾阿媽丙呀！
He ratted on us to the police.,佢將我哋嘅嘢報串俾警察知。
This district, mainly consisting of the elderly, is a "pro-establishment" stronghold.,呢區老人區係建制派票倉。
You can go to mainland China through Lok Ma Chau.,你可以經落馬洲去中國大陸。
If you don't eat breakfast, you will not have energy to work.,你唔食早餐，邊有力氣做嘢？
Whenever I order iced water with lemon, my mum asked me why don't I order lemon tea. She said ingredients of lemon tea cost more.,每次叫親凍檸水，阿媽都問點解唔叫檸茶，話檸茶抵飲啲。
Hope your store can sell out more goods in the new year!,新一年祝你貨如輪轉！
They ask residents to leave within 3 days.,佢哋限令居民三日內要離開。
With fibre optics, information can be transferred even more rapidly.,有咗光纖，傳送訊息更快捷。
This singer has released quite a few albums over the years.,呢位歌手歷年嚟出過唔少專輯。
The government built roads on the reclaimed land.,政府填海造地，並修築街道。
The girl has done a lot for everyone without taking credit.,個女仔暗啞底為大家做咗好多嘢。
After she broke up with her boyfriend, she started to have anorexia nervosa.,佢失戀之後，就開始咗厭食。
I envy you having such a close family.,我好羨慕你有一個咁融洽嘅家庭。
This company has been trimming a lot of fat after the privatization that brings itself to bear its own cost.,呢間公司自從私有化之後，就要自負盈虧，炒咗好多冗員。
He told a joke and just started giggling uncontrollably on his own. Just let him.,佢搞完個gag喺度自high緊，你由佢啦。
This piece of Dongpo pork is too fatty. How can I bring myself to ingest something this greasy?,呢舊東坡肉太多肥膏，肥淰淰咁點擺入口呀？
Accompanying some guys to start a business, he found out they were all cheaters and took all his money away.,佢同人合作做生意，點知遇人不淑，俾人呃晒啲錢。
This car runs with an automatic transmission. It's very easy to drive.,呢架車自動波㗎，好容易揸。
Neighbors should help each other.,鄰舍之間係應該要互相幫忙。
She has a particular interest in drinking tea.,佢對飲茶有特別嘅喜好。
Staying home to cook can be fun sometimes!,有時留喺屋企煮吓飯仔都幾過癮！
Just kill as you wish. I won't beg for mercy from my enemy.,要殺就殺，我唔會向敵人搖尾乞憐。
Are you kidding me? He/She scored one mark higher than me?,唔係咓？佢竟然高我一分？
He works so efficiently that he always completes the assigned tasks extremely fast.,佢做嘢好爽手，交俾佢嘅工作永遠都係極速完成。
In past dynasties, the Chinese Empire kept witnessing overthrows in name but no genuine political reform.,中原歷代帝國不停經歷名義上嘅覆亡而冇實質嘅政治改革。
Traffic jam will take place on this road once it rains.,呢段路一落雨就塞車。
I went so far from Hong Kong to Finland but I could not see the Northern Lights.,我由香港千里迢迢去到芬蘭，竟然睇唔到極光。
You are forbidden to come to our house from now on!,以後唔准你再踏入我哋家門一步！
It's not easy to raise a kid.,養育一個小朋友唔係一件易事。
All soldiers have worn their battle-suits in preparation for a war with the enemy country.,士兵全部著好戰衣，準備攻打敵國。
SARS severely wreaked havoc on Hong Kong's economy in 2003. Be that as it may, Hong Kong people fought the adversity bravely.,2003年沙士可謂嚴重摧毀香港經濟。雖然如此，香港人亦十分勇敢面對逆境。
It's just warm-up. You don't have to give it your all.,熱身啫，唔使咁搏命嘅。
The movie star was surrounded by lots of fans.,個電影明星俾好多影迷包圍住。
Australia fires are threatening towns.,澳洲山火失控威脅民居。
After his murder, he went to the police station and confessed his guilt.,佢殺人之後，自己走去警署自首。
There are only 100 copies of this invaluable car in this world.,呢款價值連城嘅名車喺全球只係得100架。
Amphibious animals can live both in water and on land.,兩棲類動物能夠喺水中同陸地上生活。
Sorry, I forgot what your name was.,對唔住呀，我唔記得咗你個名。
This talk is three hours long. There will be a 10-minute break during the talk.,呢個演講長三個鐘，中間會有一個十分鐘嘅break。
Many more people would bring a tent to picnic.,越嚟越多人會帶個帳篷去野餐。
Since no one is willing to do the task, then let me volunteer for it.,既然冇人肯做，噉我就毛遂自薦啦。
If mass protests break out, how will the government deal with the situation?,如果發生大型示威，政府會點樣應對呢？
That man can sing really low.,個阿叔可以唱到好低音。
Don't waste money at fancy restaurants. A simple, casual meal will do.,唔使破費喇，求其食餐便飯就得㗎喇。
On climate issues, young people are an important group of stakeholders.,喺氣候議題上，年輕人係好重要嘅持份者。
We were neighbours back then, I was there when he was growing up!,我以前同佢係鄰居，睇住佢大㗎！
The term "The Four Asian Tigers" refers to Korea, Taiwan, Hong Kong, and Singapore.,所謂「亞洲四小龍」係指韓國、台灣、香港同新加坡。
They like whispering behind me.,佢哋好鍾意背住我密密斟架喎！
I've given you the key, haven't I?,條鎖匙我咪俾咗你囉。
He is so poor that he hasn't a penny. How can he lend you money?,佢窮到一個崩都無，仲點借錢畀你呀？
Wars have led life to wither and fall. It is sad to look at it.,戰爭令到生命凋零，實在令人嘆息。
It's no easy task to transform from a housewife into a professional woman.,要由主婦變做職業女性，實在唔係一件容易嘅事。
The Chief Executive goes to Beijing to meet the vice-premier.,行政長官上京會晤副總理。
You have to stay in this department and work a rotation no matter what.,你點都要喺呢個部門留一水㗎喇。
Primary school students should be able to do addition, subtraction, multiplication and division.,小學生應該學晒加減乘除四則運算。
His family hired a foreign native speaker to teach him English.,佢屋企請咗個洋人教佢講英文。
As the typhoon approaches, the waves become wild and turbulent.,颱風迫近，海面上波濤洶湧。
Patient who missed the appointment must show a new doctor's referral letter to make another appointment.,若果病人冇依期赴約，必須出示新嘅醫生介紹信重新排期。
I don't even know where I flung the key at.,我自己都唔知揈咗條鎖匙去邊。
I have to thank my teacher for his inspiration; without him, I will not have this award.,多得老師當年對我嘅啓發，我今日先可以攞呢個獎。
Squeeze it into your palm, and make a circle around your face.,擳啲喺掌心，跟住喺塊面打圈。
These days, I have been bustling about my daughter's future education.,我呢幾日為咗幫個女揾學校而東奔西跑。
My son's teenage rebellion starts when he enters secondary school. He does not obey me.,阿仔升咗上中學之後開始反叛，唔聽我話。
Our family has some financial issues, therefore I will have to suspend my studies temporarily.,屋企嘅經濟出現咗問題，所以我要暫時停學。
Water flows through his fingers.,啲水響佢手指罅之間流過。
Ask price is usually higher than bid price.,賣出價通常都高過買入價。
I don't have enough money for my monthly expenses, how can I have spare money for travelling!,我每個月都唔夠錢用，點會有閒錢去旅行吖！
He was working non-stop and forgot to eat.,佢一味掛住做嘢，連飯都唔記得食。
[ChatGPT]He looks proper on the surface, but he's open-minded inside.,外表斯文，內裏open。
He is so knowledgeable that he knows astronomy, geography, physics, chemistry, and even politics and economics.,佢學識廣博，熟識天文地理、物理化學，以至於政治經濟。
His performance is not particularly good, and not particularly bad. It's okay.,佢嘅表現不過不失，一般啦。
Those foreign women loves to wear strong perfume.,啲鬼婆成日搽啲勁濃味嘅香水。
The building has to be renovated again, the owners are vehemently protesting the arrangement.,大廈又要維修，啲業主鬼殺咁嘈。
Our school magazine is published once a month.,我哋學校嘅校刊係每個月出一次嘅。
Expansion of several states is seen as an underlying cause of the war.,幾個國家嘅對外擴張被視為埋下大戰嘅伏線。
It's as dark as night here; I can't see anything.,呢度漆黑一片，咩都睇唔到。
Can you serve up the thick soup now?,個羹可唔可以上咗先？
You can easily staple twenty sheets together single-handedly with this new stapler.,用呢部新嘅釘書機，單手釘廿張紙都好易㗎咋。
She is still seeing her ex. It's so gross.,分咗手仲係噉揾人，個畫面好核突。
She's a very nice girl. You should treasure her.,佢係個好好嘅女仔，你要好好珍惜佢。
You must be insane to beat up others for no reason!,無啦啦打人，你都神經嘅！
For safety's sake, the public should stop using these unsafe products.,為咗安全起見，公眾應該停止使用呢啲唔安全嘅產品。
ATV replays this show again!,亞視又重播呢個節目喇！
I can go to place outside the restricted area only.,我淨係可以送你去到禁區出面。
She is so good at chess that a few of my pieces were captured at the very beginning.,佢捉棋好叻，一開始就食咗我幾隻棋。
This child is smarter than an adult.,呢個細路仲精過大人啊！
He made some simple food to serve his friends.,佢整咗啲簡單嘢食招呼朋友。
I've run 20 km today, almost deadly exhausted.,今日跑咗廿K，就嚟攰到死。
That bad boy isn't coming home for dinner again! For God's sake!,果個衰仔又唔翻嚟食飯！激死人！
I'm afraid she's in a meeting. I'll ask her to call you back.,唔好意思，佢開緊會，我請佢打返俾你吖！
The tree is totally bare, there's not even one leaf there.,棵樹光禿禿，一塊葉都冇。
It's been said that eating too many eggs is not good for health.,啲人話食咁多蛋冇益㗎喎。
I am selling my flat through property agents. I believe it will be sold very soon.,我層樓放咗盤，應該好快有人買。
